symbol,date,news_count,rolling_3_sentiment,rolling_7_sentiment,return_1d,return_3d,return_7d,direction
NTPC,2025-08-20 07:00:00,2,-1.0,-0.5809523809523809,-0.009356775492615488,0.008183306818406288,0.007883343438869872,DOWN
NTPC,2025-08-29 07:00:00,2,1.0,0.1428571428571428,0.009617027763027197,-0.0075029416987597575,-0.03304087876499573,UP
NTPC,2025-09-05 07:00:00,2,-0.3333333333333333,0.4285714285714285,-0.006084544575654549,-0.012692619858734155,-0.00239562031368612,DOWN
NTPC,2025-09-25 07:00:00,2,-7.401486830834377e-17,0.2857142857142857,-0.0076358728565742995,-0.014868877885151233,0.004458978010683623,UP
NTPC,2025-10-13 07:00:00,2,-0.3333333333333333,0.1428571428571428,-0.014779158407346227,0.0023820223100732285,-0.01564324444498444,UP
NTPC,2025-10-24 07:00:00,2,0.3333333333333332,-0.1428571428571428,0.006331011794939334,-0.0007308885032807355,0.007369228011621987,DOWN
NTPC,2025-10-27 07:00:00,2,0.6666666666666666,0.2857142857142857,-0.007607943430807063,-0.01021447594046121,-0.00688137331087002,UP
NTPC,2025-10-29 07:00:00,7,0.1904761904761903,0.3673469387755102,-0.006762558214450487,0.009948751386106292,0.009358027268545177,DOWN
NTPC,2025-10-30 07:00:00,11,-0.6969696969696971,-0.0742115027829313,-0.02375778325495803,-0.006486799924002029,-0.014766015035576063,DOWN
NTPC,2025-10-31 07:00:00,7,0.4458874458874458,-0.012987012987013,-0.005193634160722604,-0.03539563517665334,-0.021742254572939546,DOWN
NTPC,2026-01-14 08:00:00,3,0.5555555555555555,0.5238095238095237,0.0,0.03452366145604824,-0.004846049743708392,DOWN
NTPC,2026-01-22 08:00:00,4,0.8333333333333334,0.738095238095238,-0.016790756984760624,-0.006051565473817466,-0.03551986014646291,UP
NTPC,2026-01-26 08:00:00,2,0.4999999999999999,0.5952380952380951,0.023759957933626286,0.017714719965095993,-0.012603852595724718,UP
NTPC,2026-01-28 08:00:00,2,0.3333333333333332,0.5,0.029018830696881492,0.06370648366795684,0.04310466187164774,DOWN
NTPC,2026-01-29 08:00:00,7,0.9047619047619048,0.4591836734693877,-0.006003046037404092,0.03278214437134919,0.05092255738957241,DOWN
NTPC,2026-01-30 08:00:00,15,0.5936507936507937,0.3972789115646257,-0.015870793540540773,0.006608275689890419,0.03439615540446761,UP
NTPC,2026-01-31 08:00:00,3,-0.2,0.1591836734693877,-0.015870793540540773,0.006608275689890419,0.03439615540446761,UP
NTPC,2026-02-01 08:00:00,2,0.111111111111111,0.1591836734693877,-0.015870793540540773,0.006608275689890419,0.03439615540446761,UP
NTPC,2026-02-02 08:00:00,3,0.111111111111111,0.0639455782312924,0.023405148827324584,0.0011168517640918196,0.047014101599685,UP
NTPC,2026-02-12 08:00:00,2,0.0,-3.1720657846433036e-17,-0.014256619144602856,-0.01062958288733229,-0.004110056753780178,UP
NTPC,2026-02-18 08:00:00,2,0.0,0.1428571428571428,-0.014115042821944868,-0.0159848111593629,-0.010084441948769896,UP
NTPC,2026-02-28 08:00:00,2,1.0,0.3333333333333333,-0.011390432503370795,-0.01909588521711525,0.03950984334702534,DOWN
NTPC,2026-03-02 08:00:00,2,0.3333333333333333,0.619047619047619,-0.031121706740573796,-0.04215764954392642,-0.019171535541051,UP
ONGC,2023-08-01 07:00:00,2,0.0,0.0,-0.0042445300971478694,0.024156014858341512,0.028947449823029325,DOWN
ONGC,2024-02-26 08:00:00,2,0.6666666666666666,0.5714285714285714,-0.0018529543483793987,-0.01947596030853982,-0.01947596030853982,DOWN
ONGC,2024-11-11 08:00:00,2,0.3333333333333333,-0.1428571428571428,-0.002919443662274035,-0.034125232746939904,-0.05740565138021403,DOWN
ONGC,2025-01-09 08:00:00,3,-0.3333333333333333,0.1428571428571428,-0.0006080616571403352,-0.0017838733910616744,0.11002309838494084,DOWN
ONGC,2025-01-29 08:00:00,2,0.3333333333333333,-0.1428571428571428,0.02116152079172573,0.023686083301732275,-0.03416104561706257,UP
ONGC,2025-01-31 08:00:00,3,-0.1111111111111111,-0.3333333333333333,-0.01926819754778164,0.024462987926290536,-0.020908575667907492,DOWN
ONGC,2025-02-01 08:00:00,2,0.5555555555555556,-0.0476190476190476,-0.03319736375281135,-0.030071641656755466,-0.029277645278941278,UP
ONGC,2025-05-20 07:00:00,2,-1.0,-0.1428571428571428,-0.0023268755905272442,0.0057021951499858226,0.01909673415103086,DOWN
ONGC,2025-05-21 07:00:00,2,-0.6666666666666666,-0.2857142857142857,-0.02818878617748355,-0.019912422132912222,0.0021147640504384224,UP
ONGC,2025-05-22 07:00:00,2,-0.3333333333333333,-0.4285714285714285,0.010634368925279913,-0.020139518322104477,-0.0071947841247659294,UP
ONGC,2025-06-11 07:00:00,3,-0.7777777777777778,-0.619047619047619,0.002264288132225678,0.02092258678002068,0.04471695645887075,UP
ONGC,2025-08-12 07:00:00,3,0.7777777777777778,0.3333333333333333,0.013374681415770251,0.022404015323427506,0.016352206427290517,DOWN
